frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose
0,1,1155,190,1540,943,1406.6683349609375,375.42974853515625,1405.5149330947404,379.17439961218946,0.9999247789382935,1
1,1,1154,187,1537,943,1405.3807373046875,374.6689758300781,1405.4780217504237,376.77751646196504,0.9999257326126099,1
2,1,1154,187,1536,943,1404.5975341796875,375.190673828125,1405.1776327000207,375.96871836905837,0.9999189525842667,1
3,1,1152,188,1531,948,1403.364013671875,375.61175537109375,1404.5543730268919,375.5896141877798,0.999919667840004,1
4,1,1149,189,1529,947,1399.962158203125,376.5776062011719,1402.9088208823302,375.67293166667156,0.9999183714389801,1
5,1,1146,189,1526,950,1397.0302734375,376.1440124511719,1400.6132393209525,375.64342266580525,0.9999165236949921,1
6,1,1144,189,1522,956,1395.696044921875,378.211669921875,1398.4131587988143,376.355343500772,0.999912366271019,1
7,1,1141,188,1518,957,1393.56201171875,378.2325744628906,1396.0943790256222,376.935991341926,0.9999125152826309,1
8,1,1141,187,1517,957,1392.217529296875,378.8427429199219,1393.9821892013376,377.5777362403061,0.9999037981033325,1
9,1,1140,188,1516,959,1390.9949951171875,378.8155822753906,1392.0837819294475,378.05685115611743,0.9998939484357834,1
10,1,1136,189,1514,965,1386.978759765625,380.0603332519531,1389.554173334465,378.7728363493828,0.999891996383667,1
11,1,1133,190,1513,967,1383.971435546875,380.01470947265625,1386.8467964006084,379.3067258431564,0.9998875558376312,1
12,1,1130,191,1511,967,1381.146728515625,380.4072265625,1384.065737101267,379.81507136251525,0.9998876750469208,1
13,1,1126,187,1508,965,1377.2025146484375,379.7878723144531,1380.9653644195153,380.0565249152782,0.9998898655176163,1
14,1,1126,185,1508,965,1378.250244140625,380.2371520996094,1378.7831217397663,380.3431404638923,0.9998877197504044,1
15,1,1122,183,1505,964,1375.8037109375,379.7437744140625,1376.538155422385,380.4576992546202,0.9998885691165924,1
16,1,1123,182,1503,959,1378.5849609375,379.4000244140625,1375.337223617562,380.47105663734703,0.9998887926340103,1
17,1,1117,181,1505,961,1370.290771484375,377.2143249511719,1372.7455144154478,380.0392893305824,0.9998868405818939,1
18,1,1117,174,1506,964,1370.83447265625,376.6705627441406,1370.7356697927867,379.5694723527576,0.999887228012085,1
