frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose,used_sam
0,1,847,230,1256,1078,1025.0,574.0,1025.0134865643022,574.0401305420072,0.0,0,1
1,1,846,230,1260,1079,1027.0,576.0,1026.5230166794365,575.5152982823852,0.0,0,1
2,1,842,231,1263,1078,1030.0,579.0,1029.3690932472887,578.3562398073966,0.0,0,1
3,1,845,229,1263,1079,1034.0,583.0,1033.126076103307,582.1144517114268,0.0,0,1
4,1,846,228,1262,1078,1034.0,583.0,1034.7801763822101,583.7703074647532,0.0,0,1
5,1,852,228,1266,1079,1038.0,586.0,1037.5991001632583,586.0720893600741,0.0,0,1
6,1,852,227,1272,1079,1041.0,588.0,1040.5227057973427,588.2295882087301,0.0,0,1
7,1,864,227,1274,1079,1045.0,590.0,1043.9244781973255,590.3100827994535,0.0,0,1
8,1,874,226,1274,1078,1048.0,591.0,1047.2135628669525,591.9533391086449,0.0,0,1
9,1,880,226,1276,1079,1051.0,594.0,1050.42938357469,594.0558827709549,0.0,0,1
10,1,880,225,1276,1077,1051.0,594.0,1052.5451662721366,595.4204102849094,0.0,0,1
11,1,878,225,1291,1078,1055.0,597.0,1055.2237210130895,597.2697561320801,0.0,0,1
12,1,882,225,1305,1078,1059.0,600.0,1058.3238028324058,599.4824915622983,0.0,0,1
13,1,895,226,1309,1078,1062.0,602.0,1061.426440225227,601.6534781796422,0.0,0,1
14,1,900,226,1309,1078,1064.0,605.0,1064.2101206291388,604.1058587721893,0.0,0,1
15,1,900,226,1309,1077,1067.0,608.0,1067.050284216037,606.7799659992767,0.0,0,1
16,1,900,226,1308,1076,1067.0,608.0,1068.9973289673108,608.684775242209,0.0,0,1
17,1,903,225,1310,1076,1069.0,608.0,1070.8463618484514,609.954420416945,0.0,0,1
18,1,902,223,1305,1077,1070.0,611.0,1072.323113635198,611.6517518674218,0.0,0,1
19,1,909,223,1303,1077,1073.0,613.0,1074.1406632232981,613.4057347348296,0.0,0,1
20,1,914,223,1303,1077,1075.0,612.0,1075.948697287282,614.2755412049183,0.0,0,1
21,1,911,222,1302,1077,1076.0,612.0,1077.4488880491463,614.7407713726942,0.0,0,1
22,1,908,222,1301,1076,1076.0,612.0,1078.395797012379,614.9007186112595,0.0,0,1
23,1,905,222,1305,1077,1079.0,613.0,1079.8444361809195,615.1539510724638,0.0,0,1
24,1,912,220,1318,1077,1083.0,614.0,1082.0409142995047,615.5149125464304,0.0,0,1
25,1,920,220,1318,1078,1086.0,616.0,1084.5442867139059,616.2995886617148,0.0,0,1
26,1,926,219,1312,1078,1089.0,618.0,1087.287596480124,617.4464126869267,0.0,0,1
27,1,930,219,1309,1078,1091.0,619.0,1089.8985190832168,618.5796323784498,0.0,0,1
28,1,932,219,1307,1077,1091.0,619.0,1091.758219032042,619.383436535039,0.0,0,1
29,1,935,219,1307,1078,1093.0,619.0,1093.6175571774056,619.9138836130501,0.0,0,1
30,1,936,219,1315,1078,1096.0,620.0,1095.7971145060076,620.5377127544199,0.0,0,1
31,1,935,219,1326,1078,1098.0,617.0,1097.9324234928995,619.9985972142823,0.0,0,1
32,1,933,219,1335,1078,1102.0,615.0,1100.653949991897,618.8285621692446,0.0,0,1
33,1,935,220,1333,1078,1104.0,613.0,1103.228609967721,617.1762518504808,0.0,0,1
34,1,936,221,1330,1077,1104.0,613.0,1105.0442521983277,615.7965224097463,0.0,0,1
35,1,936,221,1331,1078,1107.0,613.0,1107.1688695438331,614.6846588220574,0.0,0,1
36,1,938,221,1331,1078,1109.0,613.0,1109.2447323231677,613.8218114385631,0.0,0,1
37,1,939,223,1329,1078,1111.0,613.0,1111.2826436477553,613.180505957174,0.0,0,1
38,1,941,223,1330,1078,1113.0,612.0,1113.2922449515659,612.4166742053635,0.0,0,1
39,1,939,224,1336,1078,1114.0,611.0,1114.969554363604,611.5548132919998,0.0,0,1
40,1,939,225,1337,1078,1114.0,612.0,1116.0665999926762,611.2420086175948,0.0,0,1
41,1,941,225,1338,1078,1116.0,614.0,1117.325168529224,611.6955795542995,0.0,0,1
42,1,940,228,1338,1078,1118.0,614.0,1118.7380310401466,612.1418126099346,0.0,0,1
43,1,940,230,1342,1077,1118.0,614.0,1119.66669947684,612.5569938917342,0.0,0,1
44,1,941,232,1347,1077,1119.0,615.0,1120.5205114783935,613.2388863427897,0.0,0,1
