frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose,used_sam
0,1,804,322,1332,1080,1060.0,651.0,1060.004077839312,651.0250572101686,0.0,0,1
1,1,806,319,1338,1080,1074.0,639.0,1070.6872835781346,641.8311999485123,0.0,0,1
2,1,810,329,1354,1079,1079.0,660.0,1078.7573154124054,653.6672285799201,0.0,0,1
3,1,812,325,1373,1079,1128.0,655.0,1114.0463348706462,655.7865298868281,0.0,0,1
4,1,813,314,1396,1079,1134.0,642.0,1133.7062824347006,648.9822546666073,0.0,0,1
5,1,822,310,1416,1079,1142.0,612.0,1147.3384051470175,629.6835488584665,0.0,0,1
6,1,825,309,1421,1079,1159.0,624.0,1162.2696876238908,624.0749350322222,0.0,0,1
7,1,830,301,1426,1079,1123.0,619.0,1155.426739606646,618.7214937505789,0.0,0,1
8,1,817,293,1441,1079,1134.0,668.0,1154.2309739387272,634.7210783079366,0.0,0,1
9,1,810,297,1459,1079,1152.0,614.0,1159.2490587833886,626.3534718969419,0.0,0,1
10,1,823,310,1474,1079,1168.0,676.0,1167.791462867441,642.0623711548494,0.0,0,1
11,1,832,314,1501,1079,1178.0,667.0,1176.8340574936153,651.0229061321086,0.0,0,1
12,1,835,316,1511,1080,1179.0,667.0,1183.3016022989225,657.8306554979581,0.0,0,1
13,1,835,310,1530,1079,1198.0,632.0,1193.571744420832,651.6873669175814,0.0,0,1
14,1,835,322,1553,1080,1223.0,666.0,1208.7492397000703,657.2200657108164,0.0,0,1
15,1,826,345,1595,1079,1252.0,676.0,1229.0640727126388,664.6435752988735,0.0,0,1
16,1,811,369,1637,1079,1252.0,691.0,1244.3068208820982,675.0836129955261,0.0,0,1
17,1,794,376,1666,1079,1252.0,707.0,1255.222502841077,688.1760261587477,0.0,0,1
18,1,786,381,1677,1079,1253.0,712.0,1262.8523166723924,699.8289453288305,0.0,0,1
19,1,756,344,1711,1079,1263.0,725.0,1270.6494507370455,712.6110336882854,0.0,0,1
20,1,718,352,1793,1078,1298.0,753.0,1286.5003124382224,730.8706668032038,0.0,0,1
21,1,680,382,1838,1080,1275.0,763.0,1290.8828696040703,747.8408983946982,0.0,0,1
22,1,626,411,1876,1080,1325.0,789.0,1308.5920664227606,768.5170319563299,0.0,0,1
23,1,563,457,1853,1080,1375.0,766.0,1337.3470209929671,776.7417947265683,0.0,0,1
24,1,541,471,1858,1080,1330.0,768.0,1345.2553406925347,782.3956824612735,0.0,0,1
25,1,527,510,1820,1077,1069.0,778.0,1268.2737544918389,788.5682662279802,0.0,0,1
26,1,509,536,1750,1064,1010.0,782.0,1185.298011493417,793.4464901060315,0.0,0,1
27,1,497,563,1696,1046,913.0,752.0,1087.7293232165046,786.7646129552089,0.0,0,1
28,1,473,571,1611,1031,874.0,760.0,998.2720118969183,782.6425250101648,0.0,0,1
29,1,450,570,1538,1031,808.0,729.0,908.8997239515925,768.8076221245691,0.0,0,1
30,1,442,568,1507,1028,810.0,731.0,842.1818300189854,757.598160041905,0.0,0,1
31,1,432,551,1441,1035,787.0,701.0,787.2405029401737,738.9711235433333,0.0,0,1
32,1,429,523,1361,980,740.0,677.0,734.7649679857197,716.4536315641138,0.0,0,1
33,1,429,497,1304,949,719.0,646.0,692.4231779107328,688.988221676142,0.0,0,1
34,1,434,467,1238,993,699.0,624.0,658.6066895254984,660.7242828042976,0.0,0,1
35,1,441,437,1166,990,682.0,594.0,632.3953514594779,629.7780666228196,0.0,0,1
36,1,446,429,1157,1000,682.0,594.0,617.2596504655085,606.4101500987538,0.0,0,1
37,1,451,406,1106,974,675.0,573.0,608.4373202041713,583.0584144488304,0.0,0,1
38,1,462,391,1063,975,666.0,560.0,603.4386098267059,562.3529596659451,0.0,0,1
39,1,491,386,1029,955,665.0,553.0,603.3344596175376,545.7900801633438,0.0,0,1
40,1,508,383,988,935,663.0,547.0,606.232008631133,532.9457661318719,0.0,0,1
41,1,525,385,952,910,667.0,539.0,612.7820948972949,522.4331915505336,0.0,0,1
42,1,515,380,935,886,667.0,539.0,620.4465052586556,516.1687658811552,0.0,0,1
43,1,542,386,928,886,674.0,542.0,630.6164532338187,514.1278116683511,0.0,0,1
44,1,564,394,913,870,680.0,543.0,642.0125558017714,514.6607459059337,0.0,0,1
45,1,584,400,897,843,693.0,543.0,656.123297093128,516.6787975159425,0.0,0,1
46,1,596,410,886,823,702.0,546.0,670.7872186326886,520.537400797112,0.0,0,1
47,1,619,419,883,799,718.0,549.0,687.6873410448908,525.6117842508778,0.0,0,1
48,1,613,415,874,783,717.0,547.0,700.7644703722938,529.8401058344833,0.0,0,1
49,1,645,426,882,784,738.0,555.0,717.2617740239402,536.2462109415366,0.0,0,1
50,1,665,438,884,775,753.0,561.0,734.500092898982,543.61842377202,0.0,0,1
51,1,685,438,888,761,770.0,557.0,752.7421172929628,548.4524753078796,0.0,0,1
52,1,708,439,889,743,786.0,559.0,771.2897841029002,552.8996859804939,0.0,0,1
53,1,721,437,885,719,797.0,553.0,788.337871088145,554.4401377363135,0.0,0,1
54,1,718,434,879,708,794.0,548.0,799.6305044602997,553.8543267668925,0.0,0,1
55,1,732,436,884,699,805.0,548.0,810.5036292491311,553.1102683793004,0.0,0,1
56,1,742,435,881,684,806.0,536.0,817.9730146246911,548.5535932214362,0.0,0,1
57,1,751,431,879,667,809.0,525.0,823.3490259067088,541.2533228868207,0.0,0,1
58,1,757,427,876,653,812.0,517.0,827.1468771947837,532.7873546738274,0.0,0,1
59,1,760,425,871,641,812.0,511.0,828.8760851143346,524.1713715229239,0.0,0,1
60,1,759,422,867,636,812.0,510.0,829.0818352094641,517.1659804031303,0.0,0,1
61,1,764,424,868,633,814.0,508.0,828.8523794172589,511.30596987421785,0.0,0,1
62,1,769,427,867,625,815.0,507.0,828.1412804481618,506.7708938399615,0.0,0,1
63,1,771,431,862,616,814.0,507.0,826.574131074268,503.6653020324412,0.0,0,1
64,1,772,439,857,603,812.0,509.0,824.1390331866263,502.34833024650163,0.0,0,1
65,1,771,447,851,606,810.0,514.0,821.1323705501451,503.3915505475347,0.0,0,1
66,1,770,446,848,604,810.0,514.0,818.4158109985758,504.72724379557695,0.0,0,1
67,1,770,453,845,611,807.0,518.0,815.1202934907652,507.4352898103153,0.0,0,1
68,1,769,463,844,616,805.0,526.0,811.756088763216,512.4114948546321,0.0,0,1
69,1,770,473,842,615,804.0,533.0,808.7364094610928,518.811555016505,0.0,0,1
70,1,768,480,840,616,802.0,537.0,805.7591125313362,525.289030663443,0.0,0,1
71,1,767,489,838,616,799.0,544.0,802.5556555901163,532.6121538510097,0.0,0,1
72,1,766,488,837,613,799.0,543.0,800.1453031786058,537.9999330125931,0.0,0,1
73,1,765,498,834,618,797.0,549.0,797.796343181761,543.8702756663829,0.0,0,1
75,,1337,221,1356,248,1347.0,230.0,1347.289659091975,232.86042044190265,0.0,0,1
76,2,1337,221,1357,247,1347.0,231.0,1347.163832086704,231.97794161160084,0.0,0,1
77,2,1337,222,1356,249,1347.0,233.0,1347.0754570390925,232.0404965822995,0.0,0,1
78,2,1337,223,1356,249,1347.0,233.0,1347.012754455068,232.1220918184373,0.0,0,1
80,2,1336,223,1356,254,1345.0,236.0,1346.139039414959,233.3519202784825,0.0,0,1
81,2,1336,224,1357,256,1345.0,236.0,1345.6063310211298,234.33447665753704,0.0,0,1
82,2,1335,224,1357,258,1345.0,237.0,1345.236342181065,235.3716082887004,0.0,0,1
83,2,1334,225,1356,259,1344.0,237.0,1344.6516678194391,236.1370898174718,0.0,0,1
84,2,1333,226,1356,259,1344.0,237.0,1344.2218993472645,236.7002272421255,0.0,0,1
85,2,1333,228,1356,260,1344.0,239.0,1343.9156903626185,237.73141593695408,0.0,0,1
86,2,1333,230,1356,263,1344.0,240.0,1343.7100946660357,238.82360920935622,0.0,0,1
87,2,1333,231,1356,265,1345.0,243.0,1343.89823698616,240.58015913952792,0.0,0,1
88,2,1333,231,1357,266,1345.0,245.0,1344.091857436366,242.5541178578709,0.0,0,1
89,2,1334,232,1358,268,1347.0,246.0,1344.9039305440103,244.3669011734198,0.0,0,1
90,2,1334,233,1357,268,1347.0,247.0,1345.58491210494,246.02119307038984,0.0,0,1
91,2,1336,234,1359,270,1349.0,249.0,1346.761597054532,247.8410255322767,0.0,0,1
92,2,1338,235,1362,273,1349.0,253.0,1347.7009538334426,250.41075800707355,0.0,0,1
93,2,1340,235,1365,274,1352.0,253.0,1349.3606354581166,252.32776747442819,0.0,0,1
94,2,1342,237,1367,275,1354.0,254.0,1351.2804949385309,253.99722241789416,0.0,0,1
95,2,1345,237,1369,277,1357.0,254.0,1353.6962859331966,255.14504141460796,0.0,0,1
96,2,1345,238,1368,278,1357.0,255.0,1355.5495298381802,256.18002509598045,0.0,0,1
97,2,1346,238,1370,279,1359.0,256.0,1357.5330491692766,257.13539213360247,0.0,0,1
98,2,1349,236,1373,279,1361.0,255.0,1359.607123942602,257.41392145176405,0.0,0,1
99,2,1351,237,1375,281,1363.0,256.0,1361.739180825074,257.77719058608085,0.0,0,1
100,2,1352,237,1378,282,1365.0,256.0,1363.9034413627282,257.923495720633,0.0,0,1
101,2,1352,236,1379,282,1366.0,257.0,1365.768023290391,258.2243205895671,0.0,0,1
102,2,1352,237,1378,283,1366.0,258.0,1367.0638770571068,258.67213437358623,0.0,0,1
103,2,1352,238,1379,284,1366.0,259.0,1367.8930869166022,259.25320810600283,0.0,0,1
104,2,1353,241,1380,289,1367.0,262.0,1368.6653059790506,260.5748670380219,0.0,0,1
105,2,1355,242,1383,295,1369.0,266.0,1369.7238656119753,262.8159265346421,0.0,0,1
106,2,1358,246,1387,299,1372.0,269.0,1371.3464804100743,265.47953695597187,0.0,0,1
107,2,1362,246,1392,300,1377.0,270.0,1374.0618150045648,267.8288281940081,0.0,0,1
108,2,1361,248,1392,302,1377.0,270.0,1376.1004807688032,269.57105273899685,0.0,0,1
109,2,1365,248,1396,304,1380.0,274.0,1378.4917576638768,272.0432956455044,0.0,0,1
110,2,1367,253,1399,309,1383.0,277.0,1381.1610126163823,274.79436907408257,0.0,0,1
111,2,1368,259,1402,316,1385.0,283.0,1383.7284551104065,278.68849953785724,0.0,0,1
