frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose,used_sam
0,1,1155,190,1540,943,1391.0,465.0,1390.978425153333,465.0507257397529,0.0,0,1
1,1,1154,187,1537,943,1389.0,470.0,1389.4793263856811,468.80261432790246,0.0,0,1
2,1,1154,187,1536,943,1389.0,472.0,1388.860417326634,471.8342450111289,0.0,0,1
3,1,1152,188,1531,948,1387.0,473.0,1387.357050568247,473.5557068120416,0.0,0,1
4,1,1149,189,1529,947,1381.0,484.0,1383.1865347125238,480.6422510281623,0.0,0,1
5,1,1146,189,1526,950,1388.0,457.0,1384.6641819455997,470.27325071362264,0.0,0,1
6,1,1144,189,1522,956,1391.0,438.0,1387.0201612707097,455.21006542608364,0.0,0,1
7,1,1141,188,1518,957,1378.0,466.0,1383.0299107621472,457.67725323913595,0.0,0,1
8,1,1141,187,1517,957,1379.0,461.0,1380.7882810046005,457.5612444315674,0.0,0,1
9,1,1140,188,1516,959,1376.0,465.0,1378.1920450864743,459.1055642835307,0.0,0,1
10,1,1136,189,1514,965,1375.0,465.0,1376.0581880077764,460.3679119377792,0.0,0,1
11,1,1133,190,1513,967,1375.0,452.0,1374.5936124152902,457.0441644175886,0.0,0,1
12,1,1130,191,1511,967,1376.0,441.0,1373.9553971733042,450.96225131868357,0.0,0,1
13,1,1126,187,1508,965,1373.0,441.0,1372.663862715989,446.32179176275247,0.0,0,1
14,1,1126,185,1508,965,1374.0,441.0,1372.1169055589394,442.86817262810376,0.0,0,1
15,1,1122,183,1505,964,1368.0,444.0,1369.9576246069184,441.342623433593,0.0,0,1
16,1,1123,182,1503,959,1364.0,453.0,1367.1107523262444,443.2665469231423,0.0,0,1
17,1,1117,181,1505,961,1349.0,483.0,1360.2835665375887,454.53187556176186,0.0,0,1
18,1,1117,174,1506,964,1347.0,478.0,1354.3118697709074,462.361544479424,0.0,0,1
19,1,1115,170,1506,963,1347.0,476.0,1349.7807127199646,468.02967145096517,0.0,0,1
20,1,1115,169,1506,964,1346.0,477.0,1346.1907333040497,472.7040233727025,0.0,0,1
21,1,1114,175,1506,958,1347.0,468.0,1344.0238150894504,473.3563696179426,0.0,0,1
22,1,1113,185,1508,958,1359.0,424.0,1346.4570712147056,459.7443494450405,0.0,0,1
23,1,1112,186,1509,962,1343.0,458.0,1343.8626530701667,458.92332909214394,0.0,0,1
24,1,1113,184,1509,964,1338.0,468.0,1340.466421531581,461.42905934390154,0.0,0,1
25,1,1114,180,1508,965,1339.0,458.0,1338.2997386790546,460.41121427116883,0.0,0,1
26,1,1115,179,1508,966,1339.0,457.0,1336.850614490482,459.258453960616,0.0,0,1
27,1,1118,178,1507,971,1343.0,439.0,1337.2285936025542,452.71235649754107,0.0,0,1
28,1,1121,181,1502,973,1342.0,440.0,1337.5124692525717,447.724035825421,0.0,0,1
29,1,1122,179,1499,975,1347.0,418.0,1339.5305807987759,436.9731773338387,0.0,0,1
30,1,1124,173,1501,983,1349.0,409.0,1341.9782484369016,425.66358255673157,0.0,0,1
31,1,1124,178,1499,992,1352.0,394.0,1345.0075453700376,412.2306102275383,0.0,0,1
32,1,1124,181,1497,996,1352.0,394.0,1347.498361557949,401.92996095656736,0.0,0,1
33,1,1125,177,1493,997,1349.0,396.0,1348.5369236841323,395.0082481301242,0.0,0,1
34,1,1125,175,1493,998,1346.0,397.0,1348.3413782951013,390.61798857477095,0.0,0,1
35,1,1124,180,1494,1004,1341.0,410.0,1346.5091333669047,392.029980139618,0.0,0,1
36,1,1123,188,1497,1012,1340.0,408.0,1344.6157106830829,393.42377635710716,0.0,0,1
