frame,track_id,x1,y1,x2,y2,meas_x,meas_y,kf_x,kf_y,pose_score,used_pose,used_sam
0,1,1070,245,1395,1078,1251.0,572.0,1250.9909810276995,572.0449545237221,0.0,0,1
1,1,1077,241,1393,1075,1254.0,555.0,1253.292998003141,559.0081270850102,0.0,0,1
2,1,1082,239,1394,1075,1255.0,555.0,1254.971206475899,553.7033924129929,0.0,0,1
3,1,1083,239,1394,1074,1255.0,554.0,1255.5422943228084,551.5537072660555,0.0,0,1
4,1,1084,237,1396,1070,1258.0,544.0,1257.4753399559281,545.0764177001212,0.0,0,1
5,1,1084,239,1402,1064,1262.0,535.0,1260.515272618194,537.2191893934015,0.0,0,1
6,1,1087,238,1409,1061,1264.0,529.0,1263.1457640761002,530.1150809795275,0.0,0,1
7,1,1093,239,1413,1054,1268.0,520.0,1266.3955138041517,522.1566702637132,0.0,0,1
8,1,1096,239,1416,1050,1267.0,536.0,1268.0438680768996,523.5149348566786,0.0,0,1
9,1,1097,240,1416,1049,1267.0,535.0,1269.0413574164397,524.5314817095289,0.0,0,1
10,1,1099,242,1415,1048,1268.0,532.0,1269.950269932219,524.6015994689637,0.0,0,1
11,1,1101,243,1416,1050,1271.0,523.0,1271.472866571913,521.9608534618384,0.0,0,1
12,1,1102,245,1416,1056,1274.0,528.0,1273.4558713428635,521.8712422341574,0.0,0,1
13,1,1101,256,1417,1062,1273.0,549.0,1274.5091649344622,528.8663038640832,0.0,0,1
14,1,1101,274,1421,1070,1274.0,583.0,1275.4648627978836,545.500714894848,0.0,0,1
15,1,1101,282,1421,1074,1274.0,584.0,1276.0388836761858,559.2847940393078,0.0,0,1
16,1,1097,292,1422,1076,1259.0,605.0,1271.6158802843331,576.727104416905,0.0,0,1
17,1,1093,319,1426,1078,1259.0,628.0,1267.8528084112963,597.5299171365425,0.0,0,1
18,1,1091,350,1426,1079,1254.0,716.0,1263.1905417188148,641.1003672481392,0.0,0,1
19,1,1088,371,1423,1079,1261.0,786.0,1261.6376680065332,697.2878812234192,0.0,0,1
20,1,1085,395,1422,1079,1254.0,780.0,1258.3455877055349,739.2179413609178,0.0,0,1
21,1,1083,405,1421,1080,1254.0,781.0,1255.8285575125283,770.7388779802077,0.0,0,1
22,1,1076,425,1420,1079,1247.0,782.0,1251.8041093926888,793.3221277236318,0.0,0,1
23,1,1071,447,1418,1078,1273.0,803.0,1256.8801874418077,814.7503778171529,0.0,0,1
24,1,1065,463,1419,1076,1283.0,820.0,1264.4342656023898,834.1102017861341,0.0,0,1
25,1,1054,468,1411,1071,1242.0,772.0,1257.903095459522,831.6060460124025,0.0,0,1
26,1,1036,477,1405,1079,1208.0,748.0,1241.8655124258803,818.9147775975373,0.0,0,1
27,1,1030,478,1405,1080,1208.0,743.0,1228.8638103614744,804.4941637500538,0.0,0,1
28,1,1019,467,1408,1080,1193.0,729.0,1214.0225143380262,786.6222666829642,0.0,0,1
29,1,1008,434,1415,1080,1183.0,794.0,1199.4682687976785,791.2729346835947,0.0,0,1
30,1,995,400,1425,1080,1163.0,802.0,1182.2539058760158,797.1284144096385,0.0,0,1
31,1,974,354,1437,1075,1193.0,752.0,1178.661252717944,785.8257764808412,0.0,0,1
32,1,945,312,1451,1076,1184.0,731.0,1174.2156193240974,769.5238788042014,0.0,0,1
33,1,937,297,1461,1080,1185.0,730.0,1172.0406399593096,755.7552577824457,0.0,0,1
34,1,911,263,1480,1077,1182.0,710.0,1170.3632546607619,738.5398983090162,0.0,0,1
35,1,886,232,1505,1073,1156.0,700.0,1161.7689764678146,721.9144148090994,0.0,0,1
36,1,852,218,1533,1080,1173.0,655.0,1160.8306328663919,695.1515229365255,0.0,0,1
37,1,808,219,1556,1080,1172.0,647.0,1160.582234794216,671.9076544530561,0.0,0,1
38,1,756,232,1586,1080,1167.0,654.0,1159.5154871335162,656.6562593287478,0.0,0,1
39,1,736,235,1604,1080,1164.0,654.0,1158.2812349417593,646.012503174977,0.0,0,1
40,1,674,236,1607,1080,1141.0,666.0,1150.5836310828176,642.9050318337926,0.0,0,1
41,1,608,258,1607,1080,1087.0,686.0,1127.8690219070536,648.3590666071929,0.0,0,1
42,1,560,285,1613,1080,1087.0,687.0,1109.8655964103943,654.615883416645,0.0,0,1
43,1,529,319,1591,1071,1082.0,714.0,1094.5901071047315,669.2372701493841,0.0,0,1
44,1,501,349,1545,1031,1054.0,687.0,1074.607517279973,673.4705161399036,0.0,0,1
45,1,491,360,1529,1016,1056.0,697.0,1060.2883109100555,680.2929620048941,0.0,0,1
46,1,480,383,1479,957,996.0,690.0,1031.4548094684624,683.7728203856909,0.0,0,1
47,1,467,400,1401,884,901.0,654.0,979.8938062755915,675.2875154684001,0.0,0,1
48,1,449,407,1303,807,798.0,618.0,907.6726389823928,656.969835263626,0.0,0,1
49,1,439,398,1213,742,755.0,578.0,838.1847183683254,629.6105332187244,0.0,0,1
50,1,438,371,1134,711,738.0,537.0,780.2390129791469,594.9840384063839,0.0,0,1
51,1,438,364,1107,703,738.0,536.0,737.9259847018594,567.4786753225734,0.0,0,1
52,1,441,343,1068,685,726.0,499.0,705.0828809668998,535.1740062940981,0.0,0,1
53,1,450,311,1024,658,708.0,450.0,678.0937085534699,495.5478962241132,0.0,0,1
54,1,463,279,982,626,694.0,423.0,656.9034190599989,457.21003664665085,0.0,0,1
55,1,490,250,946,592,690.0,402.0,643.2428925305837,422.2924677162975,0.0,0,1
56,1,516,228,919,561,687.0,380.0,635.636120016682,390.22597751462564,0.0,0,1
57,1,523,224,910,559,689.0,382.0,634.0225240138799,368.20122075354044,0.0,0,1
58,1,546,225,892,549,701.0,379.0,639.863874200382,352.92133004512533,0.0,0,1
59,1,581,235,881,549,710.0,387.0,650.2543957986356,346.43066075869984,0.0,0,1
60,1,611,252,880,558,721.0,390.0,664.3170433227987,345.2678372912983,0.0,0,1
61,1,638,271,877,558,732.0,398.0,680.7266682244988,349.57308366529077,0.0,0,1
62,1,660,285,878,551,747.0,404.0,699.6841888806463,357.22972444462914,0.0,0,1
63,1,653,282,870,538,748.0,404.0,715.7916905544612,365.221128739521,0.0,0,1
64,1,677,305,874,552,761.0,418.0,732.8058484720603,377.34871556899014,0.0,0,1
65,1,697,327,875,557,774.0,434.0,750.2096141709002,393.05455507278907,0.0,0,1
66,1,709,348,872,566,777.0,444.0,764.5020671725019,409.3648644262505,0.0,0,1
67,1,720,371,864,570,780.0,448.0,775.9966596505412,423.84957032364963,0.0,0,1
68,1,733,392,863,578,787.0,465.0,786.3210646839063,440.5271277222815,0.0,0,1
69,1,731,391,858,572,787.0,465.0,793.4611153736616,453.42312678621187,0.0,0,1
70,1,744,412,865,584,795.0,485.0,800.4931597066236,469.21210460731373,0.0,0,1
71,1,756,431,866,595,801.0,501.0,806.8828094815449,485.9870516303437,0.0,0,1
72,1,761,452,870,608,807.0,514.0,812.8079524851137,502.4581388051006,0.0,0,1
73,1,766,466,867,616,811.0,525.0,817.7934747734615,517.8934403970587,0.0,0,1
74,1,771,480,867,621,813.0,539.0,821.450826522251,533.2947023185995,0.0,0,1
75,1,768,478,864,617,813.0,539.0,823.473634940639,544.2192222198357,0.0,0,1
76,1,775,492,866,624,815.0,548.0,824.8789466192454,554.2386255519257,0.0,0,1
77,1,783,504,869,629,818.0,556.0,826.2065013468846,563.2638757992506,0.0,0,1
78,1,785,513,866,631,820.0,562.0,827.2657830286513,570.9211362961489,0.0,0,1
86,,1384,389,1404,420,1396.0,408.0,1395.677730477834,407.42400532599436,0.0,0,1
87,2,1384,389,1404,421,1396.0,408.0,1395.904114682205,407.8286234702122,0.0,0,1
88,2,1384,388,1404,419,1395.0,408.0,1395.6373747382588,408.05115345214926,0.0,0,1
89,2,1384,387,1404,417,1396.0,406.0,1395.8193714614329,407.51021550229757,0.0,0,1
90,2,1385,386,1404,417,1396.0,406.0,1395.9467710421995,407.10857410732075,0.0,0,1
91,2,1385,388,1404,422,1396.0,409.0,1396.0363075974174,407.7320545544095,0.0,0,1
92,2,1385,391,1404,426,1397.0,411.0,1396.410538877464,408.8603190733016,0.0,0,1
93,2,1385,393,1404,428,1397.0,412.0,1396.7024630862106,410.0784314583264,0.0,0,1
94,2,1386,394,1405,431,1397.0,414.0,1396.9203126056495,411.66378610725565,0.0,0,1
95,2,1386,396,1405,433,1397.0,415.0,1397.073878180635,413.20704412271834,0.0,0,1
96,2,1386,397,1405,434,1397.0,415.0,1397.1742276169598,414.368695382169,0.0,0,1
97,2,1386,398,1406,435,1397.0,415.0,1397.2324487438646,415.19973155710676,0.0,0,1
98,2,1386,401,1406,437,1397.0,420.0,1397.2586798261261,417.33632459930055,0.0,0,1
99,2,1386,403,1406,439,1397.0,422.0,1397.2616481932153,419.584330037304,0.0,0,1
100,2,1386,400,1405,435,1396.0,420.0,1396.9343551398233,420.63704882124193,0.0,0,1
101,2,1385,403,1405,440,1396.0,419.0,1396.6557619573416,421.00937380440087,0.0,0,1
102,2,1384,405,1405,444,1395.0,423.0,1396.1134423320411,422.4012612081077,0.0,0,1
103,2,1383,407,1405,446,1395.0,425.0,1395.6762595484277,424.01797254364277,0.0,0,1
104,2,1383,408,1405,450,1395.0,428.0,1395.3364702291326,426.1239183614033,0.0,0,1
105,2,1382,409,1404,452,1394.0,429.0,1394.7708997271325,427.9934032798259,0.0,0,1
106,2,1382,410,1405,451,1395.0,430.0,1394.6494176946878,429.649904360851,0.0,0,1
107,2,1383,410,1405,451,1396.0,430.0,1394.8985636430007,430.8095030596324,0.0,0,1
108,2,1383,411,1405,452,1396.0,431.0,1395.13407928414,431.8721022719256,0.0,0,1
109,2,1384,412,1406,457,1397.0,433.0,1395.6587812403316,433.1765981751067,0.0,0,1
110,2,1385,413,1408,461,1397.0,435.0,1396.097805081419,434.6879860833511,0.0,0,1
111,2,1384,415,1408,463,1397.0,436.0,1396.4523180522667,436.0578676787219,0.0,0,1
112,2,1385,417,1409,464,1398.0,439.0,1397.0403190465152,437.93341703416917,0.0,0,1
113,2,1385,419,1411,466,1399.0,440.0,1397.8129065201188,439.59771840295826,0.0,0,1
114,2,1387,420,1412,467,1400.0,439.0,1398.7256905251284,440.4534820242307,0.0,0,1
115,2,1387,422,1413,471,1400.0,446.0,1399.4277041124133,443.14319291581745,0.0,0,1
116,2,1388,422,1415,473,1401.0,445.0,1400.256120446429,444.8472138836185,0.0,0,1
117,2,1387,423,1414,476,1401.0,448.0,1400.8692014430112,446.96482816308645,0.0,0,1
118,2,1390,425,1416,477,1404.0,445.0,1402.2352544831742,447.54472005553015,0.0,0,1
119,2,1391,426,1418,479,1405.0,448.0,1403.5898454548321,448.7320262678334,0.0,0,1
120,2,1391,428,1421,483,1406.0,451.0,1404.915889786501,450.44270947189045,0.0,0,1
121,2,1392,429,1423,486,1406.0,456.0,1405.8910386301668,453.213000091491,0.0,0,1
122,2,1393,429,1424,488,1408.0,456.0,1407.1925597976206,455.2806512252029,0.0,0,1
123,2,1392,431,1423,492,1408.0,456.0,1408.1347203529415,456.7445746022206,0.0,0,1
124,2,1393,430,1425,493,1409.0,456.0,1409.0870908577667,457.7079784000336,0.0,0,1
125,2,1394,429,1426,495,1408.0,455.0,1409.4247345364613,457.9587492753486,0.0,0,1
126,2,1393,430,1426,497,1409.0,457.0,1409.8861774246263,458.58331045086146,0.0,0,1
127,2,1393,431,1427,499,1409.0,459.0,1410.151885176561,459.5450981369037,0.0,0,1
128,2,1392,432,1427,502,1410.0,460.0,1410.5797559079238,460.48705126081956,0.0,0,1
129,2,1391,435,1426,505,1410.0,463.0,1410.840232220999,462.0432705394756,0.0,0,1
130,2,1392,435,1427,506,1409.0,470.0,1410.6581430606884,465.3551320935569,0.0,0,1
131,2,1393,434,1430,508,1411.0,471.0,1411.0608057613692,468.21577686531583,0.0,0,1
132,2,1393,434,1433,511,1411.0,474.0,1411.3341885485038,471.28219383895,0.0,0,1
133,2,1391,435,1436,515,1411.0,478.0,1411.5027286533004,474.7985196919514,0.0,0,1
134,2,1391,436,1439,517,1412.0,479.0,1411.9016045725887,477.7156656613982,0.0,0,1
135,2,1388,439,1437,520,1412.0,480.0,1412.1816608556205,480.1090069766089,0.0,0,1
136,2,1390,436,1441,521,1415.0,480.0,1413.3004658998755,481.74864577803646,0.0,0,1
137,2,1388,435,1443,525,1414.0,480.0,1413.8566924964366,482.7743812078945,0.0,0,1
138,2,1386,433,1445,527,1409.0,471.0,1412.686271442763,480.507775745477,0.0,0,1
139,2,1379,431,1445,530,1407.0,480.0,1411.0419785682025,481.20521770698394,0.0,0,1
